Video file,Type,FPS,Species,Architecture,Number of measurements,Timespan of measurements (s),Number of zooids,Mean zooid length (mm),Mean zooid width (mm),Pulsation rate (pulses/s),Mean swimming speed (mm/s)
A002C0044_20220421224612_0001_1,3D,60,Iasis cylindrica,Linear,9,3.0060000000000002,120,6.143,2.546,2.67,56.34320938283629
A002C0044_20220421224612_0001_2,3D,60,Iasis cylindrica,Linear,14,2.334,17,12.401,5.106,3.25,69.3889414307365
A002C0045_20220421224748_0001,3D,60,Iasis cylindrica,Linear,5,1.6680000000000028,88,9.587,5.544,2.67,61.47543933153236
A002C0078_20220422224659_0001,3D,60,Iasis cylindrica,Linear,9,3.0060000000000002,60,7.767,4.856,5.4,43.76425853361965
A002C0079_20220422224739_0001,3D,60,Iasis cylindrica,Linear,9,3,51,NA,NA,NA,34.99865499024811
A002C0089_20220422230510_0001,3D,60,Iasis cylindrica,Linear,9,3.0000000000000004,9,9.326,5.86,5.33,54.96721519857987
A001C0353_20210922221657_0001,3D,120,Metcalfina hexagona,Linear,9,1.5,7,10.879,6.975,3,71.24764611187115
A002C0035_20220421223821_0001,3D,60,Metcalfina hexagona,Linear,6,2.004,22,30.057,12.198,3,97.42603034155744
A002C0071_20220422223546_0001,3D,60,Metcalfina hexagona,Linear,18,6,9,28.887,17.127,2.1,71.69301803126197
A002C0071_20220422223546_0001,3D,60,Metcalfina hexagona,Linear,18,6,9,28.887,17.127,2.43,71.69301803126197
A002C0075_20220422224136_0001_1,3D,60,Metcalfina hexagona,Linear,6,1.9979999999999998,23,28.519,12.844,2.46,131.24711282150034
A002C0075_20220422224136_0001_2,3D,60,Metcalfina hexagona,Linear,12,3.9959999999999996,23,26.693,14.766,1.85,160.22143177310784
A002C0075_20220422224136_0001_2,3D,60,Metcalfina hexagona,Linear,12,3.9959999999999996,23,26.693,14.766,2.2,160.22143177310784
A002C0076_20220422224245_0001,3D,60,Metcalfina hexagona,Linear,12,4.008,23,30.239,17.388,2.08,111.522111794137
A002C0076_20220422224245_0001,3D,60,Metcalfina hexagona,Linear,12,4.008,23,30.239,17.388,2.1,111.522111794137
A001C0334_20210921222327_0001,3D,120,Salpa aspera,Linear,9,1.4999999999999996,8,27.926,14.631,2.5,145.44666236222542
A001C0335_20210921222656_0001,3D,120,Salpa aspera,Linear,9,1.5000000000000013,8,30.132,15.661,2.33,110.40643869797003
A002C0042_20220421224445_0001,3D,60,Salpa aspera,Linear,6,2.003999999999999,7,24.502,18.494,1.78,118.80423566326027
A002C0053_20220421225858_0001,3D,60,Salpa aspera,Linear,8,2.7539999999999996,29,19.568,11,2.4,102.55005540517924
A002C0062_20220421231037_0001,3D,60,Salpa aspera,Linear,9,3.0059999999999993,2,41.084,15.521,1.29,88.33460427081079
A002C0080_20220422224908_0001,3D,60,Salpa aspera,Linear,8,2.6639999999999997,6,28.543,10.405,2.86,117.07153172311553
A002C0081_20220422224921_0001,3D,60,Salpa aspera,Linear,8,2.67,6,26.068,8.932,1.6,117.48172804921866
A001C0205_20210710141212_0001_1,3D,120,Salpa fusiformis,Linear,9,1.4999999999999996,15,10.685,5.114,5.43,31.43824432943466
A001C0225_20210917231024_0001,3D,120,Salpa fusiformis,Linear,9,1.499999999999998,7,9.448,4.298,2,47.46892831571655
A001C0230_20210918220927_0001,3D,120,Salpa fusiformis,Linear,5,0.8339999999999997,27,8.428,4.307,4.25,69.07891291656148
A001C0350_20210922221154_0001,3D,120,Salpa fusiformis,Linear,9,1.5000000000000013,16,21.126,7.991,2.2,55.353426309966004
A002C0059_20220421230521_0001,3D,60,Salpa fusiformis,Linear,12,4.008,21,18.078,7.499,2.44,91.67383181383676
A002C0059_20220421230521_0001,3D,60,Salpa fusiformis,Linear,12,4.008,21,18.078,7.499,2.17,91.67383181383676
A002C0072_20220422223646_0001,3D,60,Salpa fusiformis,Linear,9,2.999999999999999,17,27.564,14.766,3.75,43.57100393638171
A002C0095_20220422231109_0001,3D,60,Salpa fusiformis,Linear,9,3.0060000000000002,4,24.133,10.177,2,27.09448436066818
A001C0320_20210921215927_0001,3D,120,Salpa maxima,Linear,8,1.3319999999999999,2,48.129,30.804,1,71.99060483265421
A002C0019_20220420225823_0001_1,3D,60,Salpa maxima,Linear,11,3.6719999999999953,2,68.311,34.78,0.5,74.01257781040995
A002C0019_20220420225823_0001_2,3D,60,Salpa maxima,Linear,8,2.670000000000001,2,68.311,34.78,0.5,47.554923100545736
C0164,2D,120,Salpa maxima,Linear,7,0.8666666666666667,2,NA,NA,NA,30.034893368717338
A001C0247_20210918223147_0001_2,3D,120,Soestia zonaria,Linear,8,1.3379999999999992,8,25.304,12.515,1.5,141.34228462444742
A001C0252_20210918223920_0001,3D,120,Soestia zonaria,Linear,9,1.4999999999999996,8,NA,NA,1.14,142.3379148987183
A001C0357_20210922222753_0001,3D,120,Soestia zonaria,Linear,9,1.5000000000000002,7,6.499,4.37,1.83,84.33404634012665
GX010104,2D,240,Soestia zonaria,Linear,8,0.49583333333333335,20,9.162,3.417,3,68.67660998436159
C0123_b,2D,30,Thalia sp.,Oblique,28,13.133333333333333,29,3.508,2.281,4.5,5.843288358611041
A001C0341_20210921224426_0001,3D,120,Pegea sp.,Transversal,7,1.7520000000000002,20,31.186,11.264,1.9,15.87894699294262
A001C0352_20210922221526_0001,3D,120,Pegea sp.,Transversal,11,2.748,4,30.728,16.412,1.5,24.778123752114542
C0066,2D,30,Cyclosalpa affinis,Whorl,11,5.5,4,41.74,17.384,1.219512195,18.82038940937339
c0165_b,2D,30,Cyclosalpa affinis,Whorl,4,2,6,24.178,8.754,1.5,30.105437576759137
A001C0207_20210710141533_0001,3D,120,Cyclosalpa bakeri,Whorl,9,2.5019999999999993,4,8.44,4.664,2.38,11.859780882163157
A001C0209_20210710141857_0001,3D,120,Cyclosalpa bakeri,Whorl,9,1.4999999999999996,4,8.702,3.699,2.63,11.487695460392795
A001C0210_20210710142059_0001_1,3D,120,Cyclosalpa bakeri,Whorl,9,1.4999999999999996,6,4.519,2.036,4.33,10.461327781346869
A001C0211_20210710142218_0001,3D,120,Cyclosalpa bakeri,Whorl,9,1.5000000000000002,6,4.297,2.552,2,6.82577066333074
A001C0214_20210710142543_0001,3D,120,Cyclosalpa bakeri,Whorl,9,1.5000000000000013,6,10.659,4.358,3.45,11.083294923456727
A001C0330_20210921221301_0001,3D,120,Cyclosalpa bakeri,Whorl,11,1.8359999999999999,11,8.057,3.892,2,8.731221588436815
A002C0073_20220422223852_0001,3D,60,Cyclosalpa bakeri,Whorl,7,3.5040000000000004,13,4.545,2.311,1.64,12.486758088193469
C0070,2D,30,Cyclosalpa quadriluminis,Whorl,6,3,8,27.104,12.105,1.33,25.25801233297702
A001C0275_20210919203805_0001,NA,NA,NA,NA,6,1.4999999999999996,NA,NA,NA,NA,NA
A001C0292_20210920202155_0001,NA,NA,NA,NA,9,1.5000000000000013,NA,NA,NA,NA,NA
Brost aggs 6_42,NA,NA,NA,NA,3,1.5319148936170213,NA,NA,NA,NA,NA
c. sew agg dye 7_18,NA,NA,NA,NA,4,2,NA,NA,NA,NA,NA
CPOaggDye53_30,NA,NA,NA,NA,8,3.8863636363636362,NA,NA,NA,NA,NA
CsewAgg24_29,NA,NA,NA,NA,3,1.5,NA,NA,NA,NA,NA
CsewAggDye19_50,NA,NA,NA,NA,5,2.553191489361702,NA,NA,NA,NA,NA
CsewAggDye24_25,NA,NA,NA,NA,6,3,NA,NA,NA,NA,NA
CsewAggs8_51,NA,NA,NA,NA,5,2.553191489361702,NA,NA,NA,NA,NA
pco agg 24_37,NA,NA,NA,NA,7,5.75,NA,NA,NA,NA,NA
PCO aggs dye,NA,NA,NA,NA,2,1.25,NA,NA,NA,NA,NA
Ritteriella amboinensis Aggs26_40,NA,NA,NA,NA,3,1.5,NA,NA,NA,NA,NA
SLCaggs25_25,NA,NA,NA,NA,2,0.9787234042553191,NA,NA,NA,NA,NA
SLCaggsDye25_11,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA
SLCaggsDye25_19,NA,NA,NA,NA,3,1.517241379310345,NA,NA,NA,NA,NA
SLCaggsDye3_55(good),NA,NA,NA,NA,4,2,NA,NA,NA,NA,NA
SLCaggsDye4_07,NA,NA,NA,NA,2,1.0222222222222221,NA,NA,NA,NA,NA
